Trait	Fraction of Phenotypic Variance Explained	Chromosome	Peak Position (bp)	LOD	1.5 LOD Confidence Interval (Left) (bp)	1.5 LOD Confidence Interval (Right) (bp)	Genes Under Confidence Interval (Common Name)	Genes Under Confidence Interval (Standard Name)
YNB:ph8	0.031	7	377202	9.94	369170	385044	HSF1|NA|AFT1|RPB9|NA|MNP1|NPY1|SGF73|ALG2|MRH4|PUS2|NA	YGL073W|YGL072C|YGL071W|YGL070C|YGL069C|YGL068W|YGL067W|YGL066W|YGL065C|YGL064C|YGL063W|YGL063C-A
YNB:ph8	0.023	8	118063	7.5	77691	122009	OTU2|NA|PRS3|ETP1|YAP3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|STE20|NA|SHU1|NA|MRP4|LAG1|NA|HSE1|RPL14B|CEN8|OSH7|QCR10|LEU5|NA|NEM1|GPA1|TIM10|NA|NA|NA|STP2|ERG11	YHL013C|YHL012W|YHL011C|YHL010C|YHL009C|tV(AAC)H|YHLCsigma1|YHLWTy4-1|YHLWtau1|YHL009W-A|YHL009W-B|YHLWtau2|YHLCdelta1|YHLWdelta2|YHL008C|YHL007C|YHL006W-A|YHL006C|YHL005C|YHL004W|YHL003C|YHL002C-A|YHL002W|YHL001W|CEN8|YHR001W|YHR001W-A|YHR002W|YHR003C|YHR004C|YHR005C|YHR005C-A|tT(AGU)H|YHRCdelta3|YHRCdelta4|YHR006W|YHR007C
YNB:ph8	0.014	10	67835	4.46	25358	76675	IMA5|NA|HXT8|NA|OPT1|NA|PEX2|CBP1|NUC1|LAA1|NA|NCE101|RCY1|PRP21|NA|ECM25|ACO2|NA|NA|MBB1|PHO90|UBP12|NA|ELO1|NA|CDC6|NA|SOP4|RPS14B|RPS22A|RPL39|BUD19	YJL216C|YJL215C|YJL214W|YJL213W|YJL212C|YJL211C|YJL210W|YJL209W|YJL208C|YJL207C|YJL206C|YJL205C|YJL204C|YJL203W|YJL202C|YJL201W|YJL200C|tT(AGU)J|YJLWdelta1|YJL199C|YJL198W|YJL197W|YJL197C-A|YJL196C|YJL195C|YJL194W|YJL193W|YJL192C|YJL191W|YJL190C|YJL189W|YJL188C
YNB:ph8	0.014	11	5929	4.73	2866	37525	NA|MCH2|FRE2|COS9|SRY1|JEN1|URA1|OXP1|YRA2|DOA1|SAC1|TRP3	YKL222C|YKL221W|YKL220C|YKL219W|YKL218C|YKL217W|YKL216W|YKL215C|YKL214C|YKL213C|YKL212W|YKL211C
YNB:ph8	0.018	11	351237	5.97	339120	360503	NA|ASK1|SFK1|NA|CSE4|ELM1|NA|DCW1|PRI2|NA|PHD1|SPC42|VPS24	YKL053W|YKL052C|YKL051W|YKL050C|YKL049C|YKL048C|YKL047W|YKL046C|YKL045W|YKL044W|YKL043W|YKL042W|YKL041W
YNB:ph8	0.012	12	89131	4.1	40118	160953	COF1|LDB18|YBT1|NA|RNP1|RPL8B|NA|FPS1|ATG10|SDH2|VPS13|UBI4|ENT4|NA|PRP19|GRC3|RIX7|IRC19|NA|GPI13|RRT7|FRA1|TPO1|ISA1|HSP104|NA|NA|PAU17|SSA2|POM33|HIF1|SPA2|NA|KNS1|NA|COX19|DPS1|NA|SDC25|BPT1|EMC6|PUF3|YEH1|SOF1|PSR1|COX17|DRS1|NA|NA|MMM1|SPO75|ORC3|SFI1|RTT109|DNM1|CEN12|NA|NOC3|CMS1|THI73|SSL1	YLL050C|YLL049W|YLL048C|YLL047W|YLL046C|YLL045C|YLL044W|YLL043W|YLL042C|YLL041C|YLL040C|YLL039C|YLL038C|YLL037W|YLL036C|YLL035W|YLL034C|YLL033W|YLL032C|YLL031C|YLL030C|YLL029W|YLL028W|YLL027W|YLL026W|YLLCdelta1|tP(UGG)L|YLL025W|YLL024C|YLL023C|YLL022C|YLL021W|YLL020C|YLL019C|YLL019W-A|YLL018C-A|YLL018C|YLL017W|YLL016W|YLL015W|YLL014W|YLL013C|YLL012W|YLL011W|YLL010C|YLL009C|YLL008W|YLL007C|YLL006W-A|YLL006W|YLL005C|YLL004W|YLL003W|YLL002W|YLL001W|CEN12|YLR001C|YLR002C|YLR003C|YLR004C|YLR005W
YNB:ph8	0.074	12	571414	23.55	563584	572948	NA|TUB4|CRR1|FRE1|CDC123|CPR6|NA	YLR211C|YLR212C|YLR213C|YLR214W|YLR215C|YLR216C|YLR217W
YNB:ph8	0.01	13	47907	3.05	45801	69109	CTK3|BUL2|COQ5|ZDS2|NA|PML39|URA5|SEC65|MDM1|NUP188|SNR85|CAC2	YML112W|YML111W|YML110C|YML109W|YML108W|YML107C|YML106W|YML105C|YML104C|YML103C|snR85|YML102W
YNB:ph8	0.012	13	242258	3.76	213972	303265	NA|NDC1|AIM31|USA1|TSA1|YOX1|RPS18B|YML6|RPS17A|NSE5|APT1|UNG1|NA|OST6|NA|PSP2|PPZ1|TAF11|TRM9|UBX2|NA|ERV25|RAD33|SPT5|NA|NA|MRPL39|ERG6|NA|YAP1|GIS4|NA|TRM12|GLO1|NA|NA|YPT7|CEN13|CDC5|NA|MIC17|AIM34|MVP1|TAF4|PLB2|NA|PLB1|ADI1|NA|HXT2|NA|NA|CLU1|SEC59|NA|SNR78|SNR77|SNR76|SNR75|SNR74|SNR73|NA|SNR72|BUD22|ERG5|SOK2	YML031C-A|YML031W|YML030W|YML029W|YML028W|YML027W|YML026C|YML025C|YML024W|YML023C|YML022W|YML021C|YML020W|YML019W|YML018C|YML017W|YML016C|YML015C|YML014W|YML013W|YML012C-A|YML012W|YML011C|YML010W|YML009W-B|YML009C-A|YML009C|YML008C|YML007C-A|YML007W|YML006C|tS(AGA)M|YML005W|YML004C|YML003W|YML002W|YML001W|CEN13|YMR001C|YMR001C-A|YMR002W|YMR003W|YMR004W|YMR005W|YMR006C|YMR007W|YMR008C|YMR009W|YMR010W|YMR011W|YMRCtau1|tE(UUC)M|YMR012W|YMR013C|YMR013C-A|snR78|snR77|snR76|snR75|snR74|snR73|YMR013W-A|snR72|YMR014W|YMR015C|YMR016C
YNB:ph8	0.012	14	249919	3.9	232915	303908	POP1|ADE12|ALG9|MGS1|NA|RAP1|IES2|PEX17|RRG9|VID27|NA|MER1|SSB2|NA|RIO2|RTT106|NA|SPS18|NA|SPS19|PSY2|NA|GCR2|NA|WHI3|SLZ1|NA|NA|NA|CHS1|DUG3|NA|SRP1|KAR1|SWT21|UBP10|MRPL19|NA|NPR1|IPI3|NA|RHO5|NA|RPS3|MRPL22	YNL221C|YNL220W|YNL219C|YNL218W|YNL217W|YNL216W|YNL215W|YNL214W|YNL213C|YNL212W|YNL211C|YNL210W|YNL209W|YNL208W|YNL207W|YNL206C|YNL205C|YNL204C|YNL203C|YNL202W|YNL201C|YNL200C|YNL199C|YNL198C|YNL197C|YNL196C|YNL195C|YNL194C|YNL193W|YNL192W|YNL191W|YNL190W|YNL189W|YNL188W|YNL187W|YNL186W|YNL185C|YNL184C|YNL183C|YNL182C|YNL181W|YNL180C|YNL179C|YNL178W|YNL177C
YNB:ph8	0.012	14	380621	3.78	364968	410739	THO2|YSF3|SRV2|NAM9|EAF7|FPR1|NA|FYV6|NA|KRE33|TOM22|CPT1|DGR1|NRK1|TEP1|FAR11|SPC98|ESBP6|NAF1|NMA111|NA|TOM70|NA|NCS2|DCP2|MLS1|DMA2|NA	YNL139C|YNL138W-A|YNL138W|YNL137C|YNL136W|YNL135C|YNL134C|YNL133C|tF(GAA)N|YNL132W|YNL131W|YNL130C|YNL130C-A|YNL129W|YNL128W|YNL127W|YNL126W|YNL125C|YNL124W|YNL123W|YNL122C|YNL121C|YNL120C|YNL119W|YNL118C|YNL117W|YNL116W|YNL115C
YNB:ph8	0.049	15	37058	15.69	30484	45209	HPF1|ZPS1|NA|FRE7|GRE2|NA|DCP1	YOL155C|YOL154W|YOL153C|YOL152W|YOL151W|YOL150C|YOL149W
YNB:ph8	0.034	15	568293	11.07	554077	590261	LEO1|UBP2|CAT5|IAH1|RGA1|ADE2|AFI1|ORT1|NA|NA|VPS17|EFT1|BAG7|IRC14|IDH2|SIA1|RUP1|NA|SFL1|ARP8	YOR123C|YOR124C|YOR125C|YOR126C|YOR127W|YOR128C|YOR129C|YOR130C|tD(GUC)O|YOR131C|YOR132W|YOR133W|YOR134W|YOR135C|YOR136W|YOR137C|YOR138C|YOR139C|YOR140W|YOR141C
YPD	0.007	1	30756	3.48	27915	83285	FLO9|GDH3|BDH2|BDH1|NA|ECM1|CNE1|NA|GPB2|PEX22|ACS1|FLC2|OAF1|AIM2|GEM1|NA|SPC72|AIM1|NA|NA|GCV3|PTA1|NA|ERV46|CDC24|CLN3|CYC3|CDC19|NA|NA|NA|RBG1|FUN12|NA|MTW1|FUN19|POP5	YAL063C|YAL062W|YAL061W|YAL060W|YAL059C-A|YAL059W|YAL058W|YAL056C-A|YAL056W|YAL055W|YAL054C|YAL053W|YAL051W|YAL049C|YAL048C|YAL047W-A|YAL047C|YAL046C|YAL045C|YAL044W-A|YAL044C|YAL043C|YAL042C-A|YAL042W|YAL041W|YAL040C|YAL039C|YAL038W|YAL037C-B|YAL037C-A|YAL037W|YAL036C|YAL035W|YAL034C-B|YAL034W-A|YAL034C|YAL033W
YPD	0.015	4	546035	7.39	520655	553650	NA|NA|NA|NA|NA|ARO3|EHD3|KRS1|ENA5|ENA2|ENA1|RSM10|NA|SNR47|NRG1|HEM13|RPC11|BAP3|HEM12|NA|NA	YDRWdelta7|YDR034C-A|YDRCdelta6b|tQ(UUG)D1|YDR034W-B|YDR035W|YDR036C|YDR037W|YDR038C|YDR039C|YDR040C|YDR041W|YDR042C|snR47|YDR043C|YDR044W|YDR045C|YDR046C|YDR047W|YDR048C|YDR049W
YPD	0.007	4	955828	3.72	935952	1496027	MRPL7|SEC26|NA|SNU56|BUD26|NA|NA|SUP2|AMD2|PRP28|PEX5|MNN10|TRS23|NA|VHS1|NA|NA|NA|PAM1|BTT1|MET32|CHL4|RMD5|CTA1|RKM4|HSP78|YAP6|SWM1|EXG2|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|DIN7|AKR1|PEX10|NA|CIA1|MSW1|NA|CCC2|NA|GLO2|DON1|NA|BSC2|PMP3|MTH1|NA|NA|RNH202|RRP45|PHM6|NA|NA|GCN2|DPP1|ZIP1|NA|INM2|NSE3|RTT103|NA|HRQ1|SRP101|SSD1|DPL1|HDA2|MHR1|SUR2|ATP5|BFR2|PRO1|CFT1|GPI11|RSC3|CPR5|HNT2|NA|NA|NA|SRB7|GIC2|SUM1|TFB1|SSF2|PIB1|RAD34|IPK1|OMS1|NA|NA|NA|NA|NA|NA|HIM1|MCM21|NA|SWA2|DAD4|NA|ASP1|MRPL35|TIM11|PEP7|UTP4|YCG1|YSP2|NA|SKP1|PEX3|UBX5|GPI8|IRC3|NA|SWR1|MSN5|NA|MRPS28|NA|FCF1|NA|NA|NA|NA|HXT7|HXT6|NA|HXT3|SVF1|MRP1|NA|YPS7|NA|NA|EMT1|ATP22|SBE2|NA|TRR1|TRP4|NA|NA|SPC110|NA|GGA1|EAF1|OPI7|BCP1|TFC6|ESC2|NA|SEM1|CDC40|ESF1|NA|NA|NA|NA|NA|NA|KEI1|YPR1|XRS2|NA|CTS2|NA|VPS74|FRQ1|NA|NA|BCS1|ARH1|ATP17|LSM6|RGA2|NA|ARO10|YRA1|NA|RPP2B|NKP1|ATO3|EFT2|MUS81|NA|RVS167|SAC7|UBA2|SUF3|NA|SPT3|SHE9|RPT3|SXM1|NA|NCB2|UTP5|HPT1|URH1|NA|DIT2|DIT1|RPB7|MRP20|PDR15|NA|TRS120|ADE8|SIZ1|STE14|DFM1|RRP17|NA|ERD1|NA|SYF1|NA|RPL12B|RAD30|NA|HKR1|ARO80|SIP1|CAD1|DYN2|SNX41|NA|RPN9|BNA7|TIF35|CYM1|NA|NPL3|NA|GPI17|PPM1|PPZ2|GPI19|THI74|LRS4|DOT1|APT2|NA|SSN2|NA|NA|NA|NA|NA|ECM11|RPS17B|ADA2|UTP6|RPS18A|YHP1|PPN1|TSA2|GUK1|NA|NHX1|TOM1|HEH2|PFA5|TFB3|MFA1|NA|MRPL28|STP1|SPP41|NA|RMT2|PKH3|NA|TLG1|SDC1|UGO1|RPL27B|SNR13|TRS31|PRP3|JIP4|NA|SNF1|SNM1|PEX29|DIG2|PHO8|CWC21|KRE2|VPS52|VPS72|VPS60|RIB3|PAC11|SLD5|PKH1|NA|IZH1|MZM1|RSM28|VPS3|PUF6|ITR1|SEC20|LCD1|RPL37B|PLM2|SAM2|LPP1|SPG3|PSP1|NA|NA|GIN4|GNP1|NA|SMT3|NA|ACN9|EMI1|GRX2|NA|SLF1|EMI2|GRH1|EUG1|FPR2|URC2|NA|SPS2|SPS1|AGE1|NA|NA|NA|API2|SNA2|NA|RBA50|SNR84|HLR1	YDR237W|YDR238C|YDR239C|YDR240C|YDR241W|YDRWdelta12|YDRCsigma3|tY(GUA)D|YDR242W|YDR243C|YDR244W|YDR245W|YDR246W|YDR246W-A|YDR247W|YDR248C|YDR249C|YDR250C|YDR251W|YDR252W|YDR253C|YDR254W|YDR255C|YDR256C|YDR257C|YDR258C|YDR259C|YDR260C|YDR261C|tS(AGA)D2|YDRWTy2-3|YDRWdelta19|YDR261W-A|YDR261W-B|YDRWdelta20|YDRCTy1-3|YDRCdelta21|YDR261C-D|YDR261C-C|YDRCdelta22|YDRCsigma4|tG(GCC)D2|YDR262W|YDR263C|YDR264C|YDR265W|YDR266C|YDR267C|YDR268W|YDR269C|YDR270W|YDR271C|YDR272W|YDR273W|YDR274C|YDR275W|YDR276C|YDR277C|YDR278C|tE(CUC)D|YDR279W|YDR280W|YDR281C|YDRWsigma5|YDR282C|YDR283C|YDR284C|YDR285W|YDR286C|YDR287W|YDR288W|YDR289C|YDR290W|YDR291W|YDR292C|YDR293C|YDR294C|YDR295C|YDR296W|YDR297W|YDR298C|YDR299W|YDR300C|YDR301W|YDR302W|YDR303C|YDR304C|YDR305C|YDR306C|tV(CAC)D|YDR307W|YDR308C|YDR309C|YDR310C|YDR311W|YDR312W|YDR313C|YDR314C|YDR315C|YDR316W|tF(GAA)D|YDRWTy1-4|YDRWdelta23|YDR316W-A|YDR316W-B|YDRWdelta24|YDR317W|YDR318W|YDR319C|YDR320C|YDR320C-A|YDR320W-B|YDR321W|YDR322W|YDR322C-A|YDR323C|YDR324C|YDR325W|YDR326C|YDR327W|YDR328C|YDR329C|YDR330W|YDR331W|YDR332W|YDR333C|YDR334W|YDR335W|YDR336W|YDR337W|YDR338C|YDR339C|tX(XXX)D|YDR340W|YDRWdelta25|YDR341C|YDR342C|YDR343C|YDR344C|YDR345C|YDR346C|YDR347W|YDR348C|YDR349C|YDRCsigma6|YDRWdelta26|tM(CAU)D|YDR350C|YDR351W|YDR352W|YDR353W|YDR354W|YDR354C-A|YDR355C|YDR356W|YDR357C|YDR358W|YDR359C|YDR360W|YDR361C|YDR362C|YDR363W|tK(CUU)D1|YDR363W-A|YDR364C|YDR365C|YDRWTy1-5|YDRWdelta27|YDR365W-A|YDR365W-B|YDRWdelta28|YDR366C|YDR367W|YDR368W|YDR369C|YDR370C|YDR371W|YDR371C-A|YDR372C|YDR373W|YDR374C|YDR374W-A|YDR375C|YDR376W|YDR377W|YDR378C|YDR379W|YDR379C-A|YDR380W|YDR381W|YDR381C-A|YDR382W|YDR383C|YDR384C|YDR385W|YDR386W|YDR387C|YDR388W|YDR389W|YDR390C|tG(CCC)D|YDR391C|YDR392W|YDR393W|YDR394W|YDR395W|YDR396W|YDR397C|YDR398W|YDR399W|YDR400W|YDR401W|YDR402C|YDR403W|YDR404C|YDR405W|YDR406W|YDR406W-A|YDR407C|YDR408C|YDR409W|YDR410C|YDR411C|YDR412W|YDR413C|YDR414C|YDR415C|YDR416W|YDR417C|YDR418W|YDR419W|tS(AGA)D3|YDR420W|YDR421W|YDR422C|YDR423C|YDR424C|YDR425W|YDR426C|YDR427W|YDR428C|YDR429C|YDR430C|YDR431W|YDR432W|YDR433W|YDR434W|YDR435C|YDR436W|YDR437W|YDR438W|YDR439W|YDR440W|YDR441C|YDR442W|YDR443C|YDR444W|YDR445C|tK(CUU)D2|YDRWdelta29|YDRWdelta30|YDR446W|YDR447C|YDR448W|YDR449C|YDR450W|YDR451C|YDR452W|YDR453C|YDR454C|YDR455C|YDR456W|YDR457W|YDR458C|YDR459C|YDR460W|YDR461W|YDR461C-A|YDR462W|YDR463W|YDR464W|YDR464C-A|YDR465C|YDR466W|YDR467C|YDR468C|YDR469W|YDR470C|YDR471W|snR13|YDR472W|YDR473C|YDR475C|YDR476C|YDR477W|YDR478W|YDR479C|YDR480W|YDR481C|YDR482C|YDR483W|YDR484W|YDR485C|YDR486C|YDR487C|YDR488C|YDR489W|YDR490C|YDR491C|YDR492W|YDR493W|YDR494W|YDR495C|YDR496C|YDR497C|YDR498C|YDR499W|YDR500C|YDR501W|YDR502C|YDR503C|YDR504C|YDR505C|YDR506C|tL(CAA)D|YDR507C|YDR508C|YDR509W|YDR510W|YDR510C-A|YDR511W|YDR512C|YDR513W|YDR514C|YDR515W|YDR516C|YDR517W|YDR518W|YDR519W|YDR520C|YDR521W|YDR522C|YDR523C|YDR524C|YDR524W-C|YDR524C-B|YDR524C-A|YDR525W|YDR525W-A|YDR526C|YDR527W|snR84|YDR528W
YPD	0.017	5	252646	8.4	229832	262041	GLN3|YEN1|MXR1|SAH1|ERG28|MEI4|ACA1|SPO73|NA|SAP1|CAJ1|NA|NA|NA|NA|ISD11|TPA1|RSM18|JHD1|HOM3|PIC2|NA	YER040W|YER041W|YER042W|YER043C|YER044C|YER044C-A|YER045C|YER046W|YER046W-A|YER047C|YER048C|YERCdelta8|YERWdelta9|YERCsigma1|tQ(UUG)E1|YER048W-A|YER049W|YER050C|YER051W|YER052C|YER053C|YER053C-A
YPD	0.014	7	131946	6.88	122651	140637	EMP24|NA|YIP4|MDS3|DSD1|GCN1|NA|HOS2	YGL200C|YGL199C|YGL198W|YGL197W|YGL196W|YGL195W|YGL194C-A|YGL194C
YPD	0.018	8	114929	8.7	74628	122009	NA|RPS20|YLF2|OTU2|NA|PRS3|ETP1|YAP3|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|STE20|NA|SHU1|NA|MRP4|LAG1|NA|HSE1|RPL14B|CEN8|OSH7|QCR10|LEU5|NA|NEM1|GPA1|TIM10|NA|NA|NA|STP2|ERG11	YHL015W-A|YHL015W|YHL014C|YHL013C|YHL012W|YHL011C|YHL010C|YHL009C|tV(AAC)H|YHLCsigma1|YHLWTy4-1|YHLWtau1|YHL009W-A|YHL009W-B|YHLWtau2|YHLCdelta1|YHLWdelta2|YHL008C|YHL007C|YHL006W-A|YHL006C|YHL005C|YHL004W|YHL003C|YHL002C-A|YHL002W|YHL001W|CEN8|YHR001W|YHR001W-A|YHR002W|YHR003C|YHR004C|YHR005C|YHR005C-A|tT(AGU)H|YHRCdelta3|YHRCdelta4|YHR006W|YHR007C
YPD	0.006	8	283228	3.03	255650	336070	NMD2|NA|IRE1|SAE3|NA|LRP1|KSP1|SAM35|STE12|IPI1|NAM8|NA|RTC3|RPF1|GAR1|YNG2|MSR1|HXT4|AHT1|HXT1|NA|HXT5|NA|SFB3|TRA1|GEP4|BIG1|KIC1|SBE22|GRE3|YPT35|TRR2|CDC12|GGA2|CTM1|ERP5|UBA4|NA	YHR077C|YHR078W|YHR079C|YHR079C-A|YHR080C|YHR081W|YHR082C|YHR083W|YHR084W|YHR085W|YHR086W|YHR086W-A|YHR087W|YHR088W|YHR089C|YHR090C|YHR091C|YHR092C|YHR093W|YHR094C|YHR095W|YHR096C|YHR097C|YHR098C|YHR099W|YHR100C|YHR101C|YHR102W|YHR103W|YHR104W|YHR105W|YHR106W|YHR107C|YHR108W|YHR109W|YHR110W|YHR111W|YHR112C
YPD	0.026	9	30924	11.16	26200	57578	NA|SDL1|NA|NA|NIT1|NA|SUC2|NA|POT1|BNR1|AIM20|COA1|NA|NA|UBP7|GUT2|IMP2'|RRD1|NA|NA	YIL168W|YIL167W|YIL166C|YIL165C|YIL164C|YIL163C|YIL162W|YIL161W|YIL160C|YIL159W|YIL158W|YIL157C|YIL156W-A|YIL156W-B|YIL156W|YIL155C|YIL154C|YIL153W|YIL152W|YIL151C
YPD	0.006	9	130256	2.49	95590	141908	VHS2|NA|SNR68|FLX1|RPL16A|CSM2|FKH1|ASG1|TAO3|MET18|RRT14|STH1|KGD1|AYR1|SIM1|POG1|QDR2|QDR1|RPI1|RHO3|PRM5	YIL135C|YIL134C-A|snR68|YIL134W|YIL133C|YIL132C|YIL131C|YIL130W|YIL129C|YIL128W|YIL127C|YIL126W|YIL125W|YIL124W|YIL123W|YIL122W|YIL121W|YIL120W|YIL119C|YIL118W|YIL117C
YPD	0.009	12	135030	4.59	128382	186044	SOF1|PSR1|COX17|DRS1|NA|NA|MMM1|SPO75|ORC3|SFI1|RTT109|DNM1|CEN12|NA|NOC3|CMS1|THI73|SSL1|SSK1|NSE1|PAM18|RLP24|TEN1|NA|NA|LOT6|NA|GAT3|PPR1|BRE2|PML1|MEU1|POM34|PSR2|YEH2|IRC25|SDO1|IZH3	YLL011W|YLL010C|YLL009C|YLL008W|YLL007C|YLL006W-A|YLL006W|YLL005C|YLL004W|YLL003W|YLL002W|YLL001W|CEN12|YLR001C|YLR002C|YLR003C|YLR004C|YLR005W|YLR006C|YLR007W|YLR008C|YLR009W|YLR010C|tS(AGA)L|YLRCsigma1|YLR011W|YLR012C|YLR013W|YLR014C|YLR015W|YLR016C|YLR017W|YLR018C|YLR019W|YLR020C|YLR021W|YLR022C|YLR023C
YPD	0.028	12	663019	13.74	640447	675396	SSP120|SYM1|NA|NA|NDL1|NA|HAP1|NA|NA|NA|NA|NA|NA|NA|NA|GSY2|HSP60|LCB5|VPS63|YPT6|TMA7|RED1|RPS28B|NA|NEJ1	YLR250W|YLR251W|YLR252W|YLR253W|YLR254C|YLR255C|YLR256W|YLRWTy1-3|YLRWdelta13|YLR256W-A|YLRWdelta14|tA(AGC)L|YLRWsigma3|YLRWdelta15|YLR257W|YLR258W|YLR259C|YLR260W|YLR261C|YLR262C|YLR262C-A|YLR263W|YLR264W|YLR264C-A|YLR265C
YPD	0.008	12	966838	3.88	951521	987605	NA|PUN1|NA|NA|VPS36|CDC73|NA|NA|NA|URA4|RPN13|NA|ATG17|SPP382|NA|NA|NA|NA|TUS1|NA	YLR413W|YLR414C|YLR415C|YLR416C|YLR417W|YLR418C|YLR419W|tL(UAA)L|YLRWdelta24|YLR420W|YLR421C|YLR422W|YLR423C|YLR424W|tN(GUU)L|YLRCTy2-2|YLRCdelta25|YLRCdelta26|YLR425W|YLR426W
YPD	0.139	14	376315	52.81	373768	379438	FYV6|NA|KRE33|TOM22	YNL133C|tF(GAA)N|YNL132W|YNL131W
YPD	0.177	14	467030	23.95	466590	470846	NA|MKT1|END3	YNL086W|YNL085W|YNL084C
YPD	0.01	14	486860	1.42	466590	492376	NA|MKT1|END3|SAL1|PMS1|SWS2|EOS1|TPM1|NIS1|APJ1|MKS1|IMP4|MLF3|MSK1|RNH201|LAT1	YNL086W|YNL085W|YNL084C|YNL083W|YNL082W|YNL081C|YNL080C|YNL079C|YNL078W|YNL077W|YNL076W|YNL075W|YNL074C|YNL073W|YNL072W|YNL071W
YPD	0.08	15	163510	36.81	161768	171745	NA|NA|PHM7|ATG34|NA|ATG19|IRA2	YOL085W-A|YOL085C|YOL084W|YOL083W|YOL083C-A|YOL082W|YOL081W
YPD	0.034	15	559715	16.69	555452	569691	UBP2|CAT5|IAH1|RGA1|ADE2|AFI1	YOR124C|YOR125C|YOR126C|YOR127W|YOR128C|YOR129C
YPD:15C	0.009	3	249287	3.6	130938	263787	RVS161|ADY2|ADP1|PGK1|NA|POL4|NA|SNR33|SUF16|NA|NA|CWH43|SRD1|NA|NA|NA|NA|NA|NA|NA|MAK32|PET18|MAK31|HTL1|HSP30|NA|NA|SLM5|NA|PMP1|NA|NPP1|RHB1|NA|NA|FEN2|RIM1|SYP1|SNR65|RPS14A|SNR189|BPH1|SNT1|FEN1|RRP43|RBK1|PHO87|BUD5|MATALPHA|NA|MATALPHA2|MATALPHA1|NA|TAF2|NA|PER1|RRT12|NA|IMG1|BUD23|NA|NA|ARE1|NA|NA|RSC6|THR4|CTR86|PWP2|YIH1|TAH1|NA|SUP61|NA|BUD31|HCM1|RAD18|SED4|ATG15|CPR4|IMG2|RSA4|SSK22|SOL2|ERS1|NA|NA|PAT1|PTC6|SRB8|NA|AHC2|TRX3|TUP1|NA|CSM1	YCR009C|YCR010C|YCR011C|YCR012W|YCR013C|YCR014C|YCR015C|snR33|tG(GCC)C|YCRCdelta7|YCR016W|YCR017C|YCR018C|YCRWdelta8|tM(CAU)C|YCRWdelta9|YCRCtau1|tK(CUU)C|YCRWdelta10|YCR018C-A|YCR019W|YCR020C|YCR020C-A|YCR020W-B|YCR021C|YCR022C|YCR023C|YCR024C|YCR024C-B|YCR024C-A|YCR025C|YCR026C|YCR027C|tQ(UUG)C|YCRWdelta11|YCR028C|YCR028C-A|YCR030C|snR65|YCR031C|snR189|YCR032W|YCR033W|YCR034W|YCR035C|YCR036W|YCR037C|YCR038C|MATALPHA|YCR038W-A|YCR039C|YCR040W|YCR041W|YCR042C|YCR043C|YCR044C|YCR045C|YCR045W-A|YCR046C|YCR047C|YCR047W-A|YCR049C|YCR048W|YCR050C|YCR051W|YCR052W|YCR053W|YCR054C|YCR057C|YCR059C|YCR060W|YCR061W|tS(CGA)C|YCR064C|YCR063W|YCR065W|YCR066W|YCR067C|YCR068W|YCR069W|YCR071C|YCR072C|YCR073C|YCR073W-A|YCR075C|YCR075W-A|YCR076C|YCR077C|YCR079W|YCR081W|YCR081C-A|YCR082W|YCR083W|YCR084C|YCR085W|YCR086W
YPD:15C	0.05	4	546035	19.15	520655	548895	NA|NA|NA|NA|NA|ARO3|EHD3|KRS1|ENA5|ENA2|ENA1|RSM10|NA|SNR47|NRG1|HEM13|RPC11|BAP3	YDRWdelta7|YDR034C-A|YDRCdelta6b|tQ(UUG)D1|YDR034W-B|YDR035W|YDR036C|YDR037W|YDR038C|YDR039C|YDR040C|YDR041W|YDR042C|snR47|YDR043C|YDR044W|YDR045C|YDR046C
YPD:15C	0.011	7	425452	4.32	381520	431486	MRH4|PUS2|NA|PYC1|DUO1|YBP2|PKP2|RAD6|GEP7|SDS23|OLE1|ERV14|NA|NA|NA|PRM8|NA|MST27|NA|NA|NA|NA|TYW3|TIF4632|RPT6|ALG13|NA|NA|RIM8|RNA15|DST1|NA|NA|NA|NA|HEM2|SUP54|NA|OCH1|PNC1|NA	YGL064C|YGL063W|YGL063C-A|YGL062W|YGL061C|YGL060W|YGL059W|YGL058W|YGL057C|YGL056C|YGL055W|YGL054C|tE(UUC)G2|YGLWsigma2|YGLWdelta7|YGL053W|YGL052W|YGL051W|YGLWdelta8|YGLWdelta9|YGLCsigma3|tR(UCU)G1|YGL050W|YGL049C|YGL048C|YGL047W|tV(AAC)G1|YGLWdelta10|YGL045W|YGL044C|YGL043W|YGL042C|YGL041C-B|YGL041C|YGL041W-A|YGL040C|tL(CAA)G2|YGL039W|YGL038C|YGL037C|YGL036W
